Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-478.74667927035256,-478.74667927035256,-521.5520319423956,-521.5520319423956,-521.5520319423956
-476.348073522119,-476.348073522119,-532.851079201944,-532.851079201944,-521.5520319423956
-477.2628982126917,-477.2628982126917,-513.1034914633332,-513.1034914633332,-473.6083159861117
-474.277403837804,-474.277403837804,-493.4167111007939,-493.4167111007939,-434.35637001317605
-475.38385717905186,-475.38385717905186,-480.58976207688147,-480.58976207688147,-429.28196598123185
-475.32710271849754,-475.32710271849754,-473.8277495330996,-473.8277495330996,-429.28196598123185
-481.40085213290416,-481.40085213290416,-475.25179908866374,-475.25179908866374,-429.28196598123185
-478.04624726687246,-478.04624726687246,-470.8475350543545,-470.8475350543545,-429.28196598123185
-476.40682510051886,-476.40682510051886,-466.00247234529365,-466.00247234529365,-427.24197067280625
-478.0279493744352,-478.0279493744352,-462.9454947157777,-462.9454947157777,-427.24197067280625
-474.42337360772103,-474.42337360772103,-453.7184881196614,-459.88517392172815,-427.24197067280625
-474.82825849442327,-474.82825849442327,-445.81929628236514,-460.3245934356283,-427.24197067280625
-474.62280030442207,-474.62280030442207,-446.8303529195799,-462.12415412198453,-427.24197067280625
-479.24874279282153,-479.24874279282153,-447.73698838098915,-460.78833772950475,-427.24197067280625
-479.659424417705,-479.659424417705,-454.6966244928866,-463.3276703542182,-427.24197067280625
-475.8350491378107,-475.8350491378107,-461.70349975607314,-466.250093422458,-427.24197067280625
-479.78798508857034,-479.78798508857034,-459.8397109227212,-466.18586487340343,-427.24197067280625
-475.95150598918184,-475.95150598918184,-464.1873708722395,-467.14744384206847,-427.24197067280625
-477.7313976908949,-477.7313976908949,-468.82400540357014,-467.4874897443865,-427.24197067280625
-477.96863542373484,-477.96863542373484,-472.01556596190585,-467.4805303388418,-427.24197067280625
-477.32195248528836,-477.32195248528836,-470.58418340794776,-464.9799403437375,-414.96814044165103
-473.376159768063,-473.376159768063,-466.9965591972179,-463.3573051454418,-414.96814044165103
-477.07946719681195,-477.07946719681195,-467.61527823890054,-464.5115993902089,-414.96814044165103
-478.10045073035974,-478.10045073035974,-474.2816497207792,-466.41055105920253,-414.96814044165103
-480.0987171346971,-480.0987171346971,-472.3299335060339,-466.9285756149446,-414.96814044165103
-481.065622902534,-481.065622902534,-470.50673310732753,-467.88726253202327,-414.96814044165103
-476.25244744256395,-476.25244744256395,-472.5096615163126,-468.52801177818463,-414.96814044165103
-478.0345280224526,-478.0345280224526,-473.1227224903502,-469.28147193074045,-414.96814044165103
-478.14718878682316,-478.14718878682316,-478.1434498445072,-471.1619587444281,-414.96814044165103
-488.15287385288883,-488.15287385288883,-475.6590616116384,-470.206707429774,-414.96814044165103
-484.6348396961354,-484.6348396961354,-479.7248681307825,-469.7363686621391,-414.96814044165103
-484.2218020050672,-484.2218020050672,-487.3963869215278,-470.86951820046863,-414.96814044165103
-486.2516951815173,-486.2516951815173,-480.36967785075524,-469.3170777115866,-414.96814044165103
-482.5350082721421,-482.5350082721421,-471.79940922643766,-467.9955093436834,-414.96814044165103
-482.61557828299823,-482.61557828299823,-470.2484072866394,-467.8770989497145,-414.96814044165103
-485.2111190068588,-485.2111190068588,-473.310778196222,-469.39379466096733,-414.96814044165103
-487.85777373873754,-487.85777373873754,-474.9193204738914,-470.25539250675394,-414.96814044165103
-487.3912329253027,-487.3912329253027,-474.8487495637054,-470.74654499204706,-414.96814044165103
-481.47895156851365,-481.47895156851365,-467.90185424782084,-470.32603451452877,-414.96814044165103
-484.5943354346096,-484.5943354346096,-465.6664262453367,-469.07163713366464,-414.96814044165103
-487.24520325963675,-487.24520325963675,-468.95081932833443,-469.54477126365015,-414.96814044165103
-489.28725981851164,-489.28725981851164,-469.854727725087,-470.62790142061584,-414.96814044165103
-484.9287912260327,-484.9287912260327,-473.1642682278504,-470.2117731804851,-414.96814044165103
-486.89718267614995,-486.89718267614995,-472.9380339821702,-469.11881039788494,-414.96814044165103
-487.4061530407264,-487.4061530407264,-475.5326155762631,-469.57832486672527,-414.96814044165103
-484.8435813283689,-484.8435813283689,-474.4485263133762,-470.4926493680127,-414.96814044165103
-482.83082280901823,-482.83082280901823,-474.5825210211704,-471.1760581481191,-414.96814044165103
-487.09196894145504,-487.09196894145504,-470.0847279100196,-470.6086664332914,-414.96814044165103
-485.3829705972132,-485.3829705972132,-474.2660335836989,-471.1301159572167,-414.96814044165103
-485.5927112520759,-485.5927112520759,-483.2820937748579,-471.91372846190336,-414.96814044165103
-485.7093064865722,-485.7093064865722,-484.2873698528148,-471.45314576790815,-414.96814044165103
-483.4829401199632,-483.4829401199632,-485.064804500249,-471.0263549252894,-414.96814044165103
-483.65082457701396,-483.65082457701396,-486.5684343185624,-470.9096023111298,-414.96814044165103
-486.2628036014655,-486.2628036014655,-494.66504391348127,-472.2842250447715,-414.96814044165103
-491.0745756617694,-491.0745756617694,-494.21101236156267,-473.40371864467704,-414.96814044165103
-486.87872344055495,-486.87872344055495,-494.38255483531367,-474.8704184416625,-414.96814044165103
-487.4495827148951,-487.4495827148951,-494.6570190967062,-475.30164660616026,-414.96814044165103
-489.93545971371503,-489.93545971371503,-496.3523427380504,-475.71918271487294,-414.96814044165103
-484.0741952961441,-484.0741952961441,-496.9661272131001,-477.22029405853937,-414.96814044165103
-484.39216157241367,-484.39216157241367,-496.27597395030364,-478.57982430880844,-414.96814044165103
-483.9588367507077,-483.9588367507077,-496.23905303278286,-479.95725875053245,-414.96814044165103
-484.0496287195555,-484.0496287195555,-497.74361140661966,-481.4112179501402,-414.96814044165103
-487.0404175254047,-487.0404175254047,-490.5425554165969,-479.65204281053303,-395.7601253779
-484.59541991388693,-484.59541991388693,-491.6853113619991,-481.0738896409735,-395.7601253779
-485.7742236952143,-485.7742236952143,-486.5972014033622,-479.78383402677224,-395.7601253779
-486.92633458389565,-486.92633458389565,-485.97841951029733,-479.72540239250725,-395.7601253779
-489.12381678647967,-489.12381678647967,-478.97537666498675,-479.12877975461345,-395.7601253779
-483.9362615123704,-483.9362615123704,-483.24529747541817,-479.5307680355088,-395.7601253779
-489.57446318665757,-489.57446318665757,-486.7111086447045,-480.7977147067663,-395.7601253779
-483.3818300049767,-483.3818300049767,-484.51246838313966,-481.07920479305517,-395.7601253779
-484.92586640116974,-484.92586640116974,-482.5670589075095,-482.3538338504448,-395.7601253779
-488.6917574721672,-488.6917574721672,-471.57780963061543,-482.3274680368198,-395.7601253779
-484.9404805488731,-484.9404805488731,-483.1821868290489,-482.76542452856285,-395.7601253779
-487.3713750931884,-487.3713750931884,-481.03712372515236,-482.42498444184815,-395.7601253779
-482.74166019595106,-482.74166019595106,-482.3095876900704,-481.7797648635795,-395.7601253779
-483.11325441993625,-483.11325441993625,-483.88155101658595,-482.40036597435903,-395.7601253779
-488.1511555933953,-488.1511555933953,-488.43371733681454,-482.31359091871394,-395.7601253779
-487.2309342443395,-487.2309342443395,-492.43852513725113,-483.393928564889,-395.7601253779
-484.3538712936424,-484.3538712936424,-490.02197679277214,-483.1734200964193,-395.7601253779
-487.61035553938035,-487.61035553938035,-491.07999408989224,-484.16339128870607,-395.7601253779
-484.48307634008216,-484.48307634008216,-485.1681474078653,-483.44248970586136,-395.7601253779
-485.9529413196184,-485.9529413196184,-484.69279928483365,-481.786750509481,-395.7601253779
-482.81611164393763,-482.81611164393763,-478.3583085783198,-482.36315067407565,-395.7601253779
-484.76854177997177,-484.76854177997177,-469.9170734815446,-482.0485172928695,-395.7601253779
-489.0097459411977,-489.0097459411977,-474.2261007086139,-482.5753035479745,-395.7601253779
-482.8630723082133,-482.8630723082133,-475.4970456138443,-482.8376194578834,-395.7601253779
-490.10243998327803,-490.10243998327803,-477.1034223200178,-482.7504112879391,-395.7601253779
-484.7920779224442,-484.7920779224442,-471.0286595618269,-482.6299105645132,-395.7601253779
-485.29185699627635,-485.29185699627635,-467.5610925946015,-483.1052677657755,-395.7601253779
-486.6159621511503,-486.6159621511503,-466.72624427737554,-484.37535489511384,-395.7601253779
-488.23734601250493,-488.23734601250493,-465.70452599671046,-482.7932310395365,-395.7601253779
-488.7334541912024,-488.7334541912024,-471.5686452095779,-482.12953400637923,-395.7601253779
-494.187735723114,-494.187735723114,-478.8746822948143,-483.50523348746856,-395.7601253779
-491.2138535791707,-491.2138535791707,-490.11689562163485,-485.4842896207625,-395.7601253779
-485.3926838296074,-485.3926838296074,-492.27079681224757,-485.92293979517143,-395.7601253779
-485.8604037892624,-485.8604037892624,-482.0284338933282,-484.3536009738739,-395.7601253779
-488.1854335356901,-488.1854335356901,-474.9616662987207,-482.8262403434492,-395.7601253779
-483.2852070092922,-483.2852070092922,-475.67895287083866,-483.74875555667705,-395.7601253779
-484.08059302031927,-484.08059302031927,-477.0079906881162,-483.653659186659,-395.7601253779
-480.2031853925412,-480.2031853925412,-478.34397194518243,-483.3877305291787,-395.7601253779
-492.5221571260135,-492.5221571260135,-479.24008118257404,-481.7837733054885,-395.7601253779
-485.11586369867786,-485.11586369867786,-481.91438919065405,-481.4994509444602,-395.7601253779
-482.36201535415523,-482.36201535415523,-480.99309058037636,-482.3901647398312,-395.7601253779
-486.91346699838107,-486.91346699838107,-477.7472819125778,-482.1007372205817,-395.7601253779
-486.64784252909084,-486.64784252909084,-471.9228924682478,-481.46531581650845,-395.7601253779
-488.2064415208912,-488.2064415208912,-475.3073881691924,-480.5385676406497,-395.7601253779
-485.58674899020775,-485.58674899020775,-482.0981834845694,-480.3144732210218,-395.7601253779
-488.74699746455207,-488.74699746455207,-481.5470093048775,-480.78768887004253,-395.7601253779
-486.7551338745905,-486.7551338745905,-474.0462243867265,-479.06967862138424,-395.7601253779
-487.7312910039746,-487.7312910039746,-472.9858682432341,-478.7297093877649,-395.7601253779
-486.9505895295531,-486.9505895295531,-479.8920102989682,-478.5143647587255,-395.7601253779
-486.7546717809491,-486.7546717809491,-479.9652761379431,-477.94378389072483,-395.7601253779
-479.96134141260006,-479.96134141260006,-479.07195798992717,-480.09604525449737,-395.7601253779
-494.8618724158279,-494.8618724158279,-479.9716820210848,-479.75801135239897,-395.7601253779
-488.1521833536358,-488.1521833536358,-485.83510069439046,-481.31289567471407,-395.7601253779
-482.64244377016604,-482.64244377016604,-490.33602324553556,-481.41008838769733,-395.7601253779
-485.4774285737684,-485.4774285737684,-491.6077494668576,-482.8409477813961,-395.7601253779
-489.02212211741715,-489.02212211741715,-491.81579365939314,-482.5017881068376,-395.7601253779
-488.64044211802576,-488.64044211802576,-497.57753753007785,-481.2429643984589,-395.7601253779
-486.8226734099228,-486.8226734099228,-496.5130715988542,-481.12983003090767,-395.7601253779
-483.29758513133993,-483.29758513133993,-490.98267364203537,-480.1974877056307,-395.7601253779
-487.0768960983335,-487.0768960983335,-484.5401844255906,-480.5362588497199,-395.7601253779
-486.1543963412787,-486.1543963412787,-485.4644935127565,-480.55250659123885,-395.7601253779
-485.98947046330113,-485.98947046330113,-483.13021100078333,-480.1766288075251,-395.7601253779
