Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
42152.05393790557,42152.05393790557,49629.99733049512,49629.99733049512,49629.99733049512
42331.140256926374,42331.140256926374,47642.561754297916,47642.561754297916,49629.99733049512
43184.46321873717,43184.46321873717,41687.29416853301,41687.29416853301,49629.99733049512
43392.78263369797,43392.78263369797,41689.49313738122,41689.49313738122,49629.99733049512
42756.51138863055,42756.51138863055,42088.268542894875,42088.268542894875,49629.99733049512
42231.83182691928,42231.83182691928,43015.81559273316,43015.81559273316,49629.99733049512
41835.277458494114,41835.277458494114,43110.04652716441,43110.04652716441,49629.99733049512
43600.35640226693,43600.35640226693,43305.6394677896,43305.6394677896,49629.99733049512
42608.12284872609,42608.12284872609,43457.58134426757,43457.58134426757,49629.99733049512
42688.550943193164,42688.550943193164,42883.51571872041,42883.51571872041,49629.99733049512
41517.054187501686,41517.054187501686,41494.390580704414,42233.99119432175,49629.99733049512
41836.0159006702,41836.0159006702,41197.984753988974,42272.080920707136,49629.99733049512
43830.59630333934,43830.59630333934,42488.0346889643,42303.24841501862,49629.99733049512
43232.53845983325,43232.53845983325,41197.50157851144,41338.07059533137,49629.99733049512
42597.12257498635,42597.12257498635,41296.99708948317,41560.7542406204,49629.99733049512
42847.828401055165,42847.828401055165,40899.343400907754,41693.02047284228,49629.99733049512
42657.76632907052,42657.76632907052,41097.40513769288,41926.13982747527,49629.99733049512
41903.94196966933,41903.94196966933,40699.211237930096,41857.62378453432,49629.99733049512
42816.53578440591,42816.53578440591,39210.73402698053,41222.39854569545,49629.99733049512
42855.69951520071,42855.69951520071,39905.676175168446,41394.595946944435,49629.99733049512
42916.96742371359,42916.96742371359,41195.47367838358,41739.45904387501,49629.99733049512
41229.07608702931,41229.07608702931,41195.302987796545,41782.636405747784,49629.99733049512
42926.11614453299,42926.11614453299,40502.16017520019,41520.1665716193,49629.99733049512
43342.62465610288,43342.62465610288,42387.81618917954,41775.46459276811,49629.99733049512
41854.930523944306,41854.930523944306,42288.80645861795,41851.97512781942,49629.99733049512
32456.370130055453,32456.370130055453,42388.18425457713,41960.39115812493,49629.99733049512
31284.451519999915,31284.451519999915,40502.929330073915,41399.024828437745,49629.99733049512
32286.59796494335,32286.59796494335,40107.64067819192,41232.62981798347,49629.99733049512
30439.761256078193,30439.761256078193,40206.55438579989,40872.107456076286,49629.99733049512
32366.4582589102,32366.4582589102,39412.52358460556,40733.90515949814,49629.99733049512
31433.00973358621,31433.00973358621,37724.055444186124,40444.167560104404,49629.99733049512
32345.14743037796,32345.14743037796,36334.877401625316,40080.21171695951,49629.99733049512
31789.776007010863,31789.776007010863,35142.74967264312,39587.61599617197,49629.99733049512
31998.154790330573,31998.154790330573,33355.79155541745,39299.09017001791,49629.99733049512
31503.01392615553,31503.01392615553,31964.449483428027,39026.96780085045,49629.99733049512
31413.706865811073,31413.706865811073,30873.331343009766,38880.652320592926,49629.99733049512
32366.784859895717,32366.784859895717,30971.778557490365,38580.850160614114,49629.99733049512
33250.08810984198,33250.08810984198,29581.223050491397,38166.47014232766,49629.99733049512
32446.07325733653,32446.07325733653,29880.544471834233,38053.757972937296,49629.99733049512
32991.864367744296,32991.864367744296,28789.86580471474,37747.89532080229,49629.99733049512
32684.747534760536,32684.747534760536,28990.13065555119,37650.50002240849,49629.99733049512
33427.774336315975,33427.774336315975,29387.214264715993,37534.25994261581,49629.99733049512
33834.8889104319,33834.8889104319,30281.225238945182,37423.339075886666,49629.99733049512
33180.03433155223,33180.03433155223,30579.163595151484,37317.28867573008,49629.99733049512
32356.893083439307,32356.893083439307,30680.9681954626,37172.301221875365,49629.99733049512
33675.35291632215,33675.35291632215,31671.746538149826,37313.49888962703,49629.99733049512
35879.40908553061,35879.40908553061,32467.83819724703,37280.20931734452,49629.99733049512
35264.20557347056,35264.20557347056,33361.786705413746,37165.49442630393,49629.99733049512
36901.19122760209,36901.19122760209,33954.64329710285,37217.20395746088,49629.99733049512
38072.89007391962,38072.89007391962,35046.16721746313,37207.54970013446,49629.99733049512
38588.06175964968,38588.06175964968,34748.260610327714,36830.46219383061,49629.99733049512
