Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
46283.80304435877,46283.80304435877,41666.43258708222,41666.43258708222,41666.43258708222
47257.893573032714,47257.893573032714,40184.200918757124,40184.200918757124,41666.43258708222
46183.44025021783,46183.44025021783,41672.01367516022,41672.01367516022,44647.639187966415
45582.57561780988,45582.57561780988,42915.16051108489,42915.16051108489,46644.601018858884
46351.64510068295,46351.64510068295,43064.61020220701,43064.61020220701,46644.601018858884
45777.38165911033,45777.38165911033,43332.5775679371,43332.5775679371,46644.601018858884
46119.567702591565,46119.567702591565,43238.70348077908,43238.70348077908,46644.601018858884
46361.36447689154,46361.36447689154,43660.900982162624,43660.900982162624,46644.601018858884
46942.39547862935,46942.39547862935,43661.05941330377,43661.05941330377,46644.601018858884
46422.68336559352,46422.68336559352,44058.11558249345,44058.11558249345,47631.621105200604
46781.07947928966,46781.07947928966,44852.43229662167,44562.795959390816,49609.59972836447
46204.919399095976,46204.919399095976,45846.82130490309,44903.051240545436,49609.59972836447
46264.5310199303,46264.5310199303,45550.52545756217,44655.48427700788,49609.59972836447
45977.248673322145,45977.248673322145,45454.43755352241,44728.9298271117,49609.59972836447
46063.26836247313,46063.26836247313,45355.23116880986,44591.690846608915,49609.59972836447
46500.8502990174,46500.8502990174,45946.332552013475,44966.17443298484,50583.42822862379
45928.073192994256,45928.073192994256,46342.09689843918,45064.229020579136,50583.42822862379
46432.36229430378,46432.36229430378,46842.379792924134,45428.389210363464,51619.11243669699
45838.160516488024,45838.160516488024,47037.78887760274,45438.285447145325,51619.11243669699
46005.504939258906,46005.504939258906,47140.01744059775,45599.06651154561,51619.11243669699
46428.86735082056,46428.86735082056,46444.94363511552,45459.056757354956,51619.11243669699
46460.87231997164,46460.87231997164,45848.158047305515,45332.6452436182,51619.11243669699
46818.507260682985,46818.507260682985,46445.65596568864,45433.819793825605,51619.11243669699
46304.79876400295,46304.79876400295,46540.06380120521,45483.56898298399,51619.11243669699
45737.79564593965,45737.79564593965,46441.362338356616,45331.55944330798,51619.11243669699
37869.82622875702,37869.82622875702,45451.96297051418,45153.01617818842,51619.11243669699
37612.19152629586,37612.19152629586,43666.85730091441,44546.683939221824,51619.11243669699
37278.939193859216,37278.939193859216,41475.45649097428,44016.62752486731,51619.11243669699
38269.46459252145,38269.46459252145,40188.392288324896,43627.977461345174,51619.11243669699
37832.88829092406,37832.88829092406,38890.45680940403,43362.8632774984,51619.11243669699
38399.99659725841,38399.99659725841,37798.84401449141,42988.020388689285,51619.11243669699
37398.105699418746,37398.105699418746,36804.194361717426,42667.50434302421,51619.11243669699
37732.86166221696,37732.86166221696,35998.70487066284,42574.69405953386,51619.11243669699
37979.81369498704,37979.81369498704,34710.28614322543,42314.956383055,51619.11243669699
38666.82899419276,38666.82899419276,34007.58601443646,42096.138463630414,51619.11243669699
37186.83760309714,37186.83760309714,33409.6253090568,41890.9631589852,51619.11243669699
37415.396006714145,37415.396006714145,34695.339033638535,41884.15828906418,51619.11243669699
40520.74123648726,40520.74123648726,35297.71876335651,41722.17785078553,51619.11243669699
37418.42008286565,37418.42008286565,35595.194235216964,41568.28945464564,51619.11243669699
36483.55035058804,36483.55035058804,35891.79171411299,41495.09538665206,51619.11243669699
37603.836485021086,37603.836485021086,36492.78704477883,41403.817134076984,51619.11243669699
39845.623462932424,39845.623462932424,36494.82948392119,41197.81985276159,51619.11243669699
38660.58414589226,38660.58414589226,35605.68156027593,40953.99347831109,51619.11243669699
39321.05677980641,39321.05677980641,35005.59830234018,40653.73863743799,51619.11243669699
38583.78460480505,38583.78460480505,35209.464377368065,40565.766444461,51619.11243669699
38335.77824635345,38335.77824635345,35312.33136183293,40460.82581177819,51619.11243669699
39758.12383908016,39758.12383908016,34623.760151185765,40339.39272781346,51619.11243669699
40492.65390646809,40492.65390646809,34917.24815485325,40304.48416413297,51619.11243669699
41318.01558651545,41318.01558651545,35209.05163270199,40270.48581751428,51619.11243669699
41446.87126990545,41446.87126990545,34520.729009912895,40100.22211130422,51619.11243669699
41228.29784859708,41228.29784859708,34314.84856433573,39980.77111106862,51619.11243669699
41952.439067327956,41952.439067327956,35108.98692146661,40020.59802386277,51619.11243669699
42955.23419035103,42955.23419035103,36004.24005176885,39920.96158119169,51619.11243669699
43232.664673719315,43232.664673719315,36794.91855702839,39701.060871464324,51619.11243669699
43353.971403653304,43353.971403653304,36693.769700850105,39541.482719964224,51619.11243669699
45511.22738047906,45511.22738047906,36095.176049644055,39243.085648612294,51619.11243669699
44782.309184318176,44782.309184318176,36583.56615413987,39182.32390766355,51619.11243669699
44892.283935259475,44892.283935259475,36087.657484964686,38924.09213741457,51619.11243669699
47389.87908685705,47389.87908685705,35990.9002214095,38804.26545105122,51619.11243669699
46474.28698128162,46474.28698128162,36779.46292733333,38644.4915802722,51619.11243669699
46608.06073338415,46608.06073338415,37174.247809090055,38445.134213562305,51619.11243669699
46169.4519143766,46169.4519143766,37372.85214526842,38325.80419193584,51619.11243669699
47575.68814960954,47575.68814960954,38365.22264582415,38483.90101884408,51619.11243669699
46949.24423862978,46949.24423862978,39658.472574095795,38541.867875579,51619.11243669699
47255.052638935435,47255.052638935435,40851.74623935522,38640.78573407329,51619.11243669699
46980.405559875624,46980.405559875624,41743.170614213996,38402.4532610524,51619.11243669699
47594.593397316385,47594.593397316385,42140.35772547219,38341.97607307017,51619.11243669699
48789.99074263595,48789.99074263595,43334.65346242471,38222.546871314684,51619.11243669699
47460.16817036047,47460.16817036047,43839.44938843684,38164.59755321804,51619.11243669699
48660.85674671895,48660.85674671895,44040.92702253231,38024.67349665912,51619.11243669699
49199.30408704425,49199.30408704425,44735.93612262363,38103.33271106393,51619.11243669699
49742.42982579833,49742.42982579833,45425.98224045271,38241.36903056528,51619.11243669699
50680.68928223277,50680.68928223277,45720.568023372696,38338.88343038089,52535.379889169475
48966.902418443075,48966.902418443075,45330.32320939889,38299.91975721774,52535.379889169475
49549.736378294976,49549.736378294976,45027.93719199659,38358.10070480129,52535.379889169475
49960.366077872226,49960.366077872226,46122.74251803062,38536.60917055568,52535.379889169475
48663.78066078892,48663.78066078892,45428.16438230239,38694.237489347746,52535.379889169475
49103.19265011083,49103.19265011083,45920.70344423522,39111.59626196688,52535.379889169475
49351.00706686406,49351.00706686406,46310.534769281556,39389.026049409375,52535.379889169475
48716.25241178327,48716.25241178327,47102.19789797102,39667.02171437251,52535.379889169475
48377.42092081704,48377.42092081704,47006.22732872263,39944.80937391017,52535.379889169475
50560.9737673677,50560.9737673677,47108.74941305989,40302.280040833764,52535.379889169475
49716.424348182074,49716.424348182074,46618.40678729128,40462.82381370658,52535.379889169475
49040.5353203343,49040.5353203343,47504.50185035753,40858.76289864416,53540.56730613173
50797.33079413251,50797.33079413251,48104.16182484231,41177.41586688247,53540.56730613173
50011.838150476346,50011.838150476346,48397.50257277225,41534.184623298774,53540.56730613173
48693.87472451884,48693.87472451884,49098.489606402916,41574.86760390063,53540.56730613173
49398.062908151696,49398.062908151696,48205.48240199669,41693.14898969491,53540.56730613173
49499.092837762284,49499.092837762284,48404.398619292755,41950.86692622453,53540.56730613173
50921.60373758494,50921.60373758494,48207.402458009165,42130.143863151745,53540.56730613173
50281.05417385662,50281.05417385662,47818.42668298505,42209.937301551414,53540.56730613173
50930.17888529413,50930.17888529413,47413.36439763639,42485.9870235768,53540.56730613173
50162.7502682482,50162.7502682482,47208.22964966913,42783.33343158522,53540.56730613173
51799.68619814645,51799.68619814645,46811.027377943334,43219.84871376478,53540.56730613173
50992.28508919177,50992.28508919177,46017.14945081029,43338.952881570905,53540.56730613173
50719.52584234931,50719.52584234931,45420.79016127663,43555.87638318752,53540.56730613173
50477.40448401818,50477.40448401818,46704.12466410169,43990.94050648381,56506.677030250925
50540.36722772328,50540.36722772328,47001.464816701846,44109.992322064616,56506.677030250925
51201.34586275263,51201.34586275263,46704.84113502079,44250.024826688285,56506.677030250925
50552.157302874046,50552.157302874046,46807.24857977193,44587.44777712355,56506.677030250925
51280.64761040372,51280.64761040372,47492.01354481723,44845.37029764771,56506.677030250925
51497.50061183479,51497.50061183479,48191.38439396571,45102.466518076624,56506.677030250925
52493.90905101303,52493.90905101303,48786.18436034818,45339.722293301085,56506.677030250925
51577.37454037326,51577.37454037326,47993.12059136847,45459.4891206328,56506.677030250925
